,result,table,_time,_value
,_result,0,2022-08-14T00:00:00Z,16.6
,_result,0,2022-08-15T00:00:00Z,16.5
,_result,0,2022-08-16T00:00:00Z,15.5
,_result,0,2022-08-17T00:00:00Z,16.2
,_result,0,2022-08-18T00:00:00Z,15.5
,_result,0,2022-08-19T00:00:00Z,17.5
,_result,0,2022-08-20T00:00:00Z,19.5
,_result,0,2022-08-21T00:00:00Z,19
,_result,0,2022-08-22T00:00:00Z,17.9
,_result,0,2022-08-23T00:00:00Z,15
,_result,0,2022-08-24T00:00:00Z,14.7
,_result,0,2022-08-25T00:00:00Z,16.1
,_result,0,2022-08-26T00:00:00Z,14.9
,_result,0,2022-08-27T00:00:00Z,17.4
,_result,0,2022-08-28T00:00:00Z,17.5
,_result,0,2022-08-29T00:00:00Z,18.2
,_result,0,2022-08-30T00:00:00Z,18.3
,_result,0,2022-08-31T00:00:00Z,16.5
,_result,0,2022-09-01T00:00:00Z,16.8
,_result,0,2022-09-02T00:00:00Z,14.6
,_result,0,2022-09-03T00:00:00Z,12.4
,_result,0,2022-09-04T00:00:00Z,10.5
,_result,0,2022-09-05T00:00:00Z,15.1
,_result,0,2022-09-06T00:00:00Z,13.1
,_result,0,2022-09-07T00:00:00Z,14
,_result,0,2022-09-08T00:00:00Z,15.1
,_result,0,2022-09-09T00:00:00Z,16.6
,_result,0,2022-09-10T00:00:00Z,18.2
,_result,0,2022-09-11T00:00:00Z,13.6
,_result,0,2022-09-12T00:00:00Z,13.3
,_result,0,2022-09-13T00:00:00Z,11.3
,_result,0,2022-09-14T00:00:00Z,9.4
,_result,0,2022-09-15T00:00:00Z,14.5
,_result,0,2022-09-16T00:00:00Z,16.8
,_result,0,2022-09-17T00:00:00Z,13.2
,_result,0,2022-09-18T00:00:00Z,9.3
,_result,0,2022-09-19T00:00:00Z,7.3
,_result,0,2022-09-20T00:00:00Z,6
,_result,0,2022-09-21T00:00:00Z,6.3
,_result,0,2022-09-22T00:00:00Z,6.5
,_result,0,2022-09-23T00:00:00Z,4.9
,_result,0,2022-09-24T00:00:00Z,3.4
,_result,0,2022-09-25T00:00:00Z,3.8
,_result,0,2022-09-26T00:00:00Z,9
,_result,0,2022-09-27T00:00:00Z,13.1
,_result,0,2022-09-28T00:00:00Z,11.9
,_result,0,2022-09-29T00:00:00Z,11.3
,_result,0,2022-09-30T00:00:00Z,12.5
,_result,0,2022-10-01T00:00:00Z,13.6
,_result,0,2022-10-02T00:00:00Z,13.4
,_result,0,2022-10-03T00:00:00Z,10.7
,_result,0,2022-10-04T00:00:00Z,7.7
,_result,0,2022-10-05T00:00:00Z,6.1
,_result,0,2022-10-06T00:00:00Z,4.6
,_result,0,2022-10-07T00:00:00Z,6.9
,_result,0,2022-10-08T00:00:00Z,9
,_result,0,2022-10-13T00:00:00Z,20.1
,_result,0,2022-10-14T00:00:00Z,20.5
